Frequency (Hz)	Level (dB)
1.345825	-84.850296
2.691650	-79.090866
4.037476	-89.054474
5.383301	-101.906242
6.729126	-93.511063
8.074951	-90.545464
9.420776	-89.680038
10.766602	-91.402115
12.112427	-89.557777
13.458252	-89.563240
14.804077	-89.324272
16.149902	-100.365372
17.495728	-101.499176
18.841553	-104.939110
20.187378	-94.626640
21.533203	-97.506699
22.879028	-117.279930
24.224854	-101.944099
25.570679	-108.290268
26.916504	-109.378082
28.262329	-117.207512
29.608154	-108.683167
30.953979	-97.154068
32.299805	-95.977753
33.645630	-89.291664
34.991455	-86.404541
36.337280	-89.611786
37.683105	-89.487778
39.028931	-107.573631
40.374756	-97.904396
41.720581	-97.327019
43.066406	-95.744354
44.412231	-99.690727
45.758057	-91.793587
47.103882	-97.120842
48.449707	-89.474861
49.795532	-91.115822
51.141357	-99.355705
52.487183	-110.511131
53.833008	-95.035759
55.178833	-94.827103
56.524658	-98.064606
57.870483	-92.343102
59.216309	-97.944771
60.562134	-97.603531
61.907959	-115.358513
63.253784	-103.328697
64.599609	-104.635567
65.945435	-100.721596
67.291260	-98.518799
68.637085	-99.829453
69.982910	-105.441978
71.328735	-105.751678
72.674561	-101.307266
74.020386	-105.449524
75.366211	-116.312180
76.712036	-105.934586
78.057861	-100.429855
79.403687	-101.769836
80.749512	-96.971603
82.095337	-98.807373
83.441162	-103.726334
84.786987	-109.501717
86.132812	-103.102097
87.478638	-100.124893
88.824463	-106.327637
90.170288	-97.297798
91.516113	-98.689735
92.861938	-93.300476
94.207764	-87.804245
95.553589	-85.279190
96.899414	-89.046471
98.245239	-100.445213
99.591064	-103.776733
100.936890	-90.837563
102.282715	-90.839966
103.628540	-92.978294
104.974365	-95.431473
106.320190	-100.853210
107.666016	-105.127563
109.011841	-95.788780
110.357666	-94.297119
111.703491	-101.437637
113.049316	-102.068352
114.395142	-106.052277
115.740967	-106.181686
117.086792	-98.750198
118.432617	-104.413086
119.778442	-106.978149
121.124268	-110.088020
122.470093	-115.039894
123.815918	-110.547760
125.161743	-110.048943
126.507568	-108.435936
127.853394	-103.914536
129.199219	-104.576775
130.545044	-103.021080
131.890869	-99.858986
133.236694	-97.928596
134.582520	-100.426109
135.928345	-102.374123
137.274170	-105.245399
138.619995	-103.473953
139.965820	-103.782486
141.311646	-96.550461
142.657471	-103.172081
144.003296	-103.726669
145.349121	-101.394348
146.694946	-98.754036
148.040771	-112.447533
149.386597	-94.893654
150.732422	-93.405159
152.078247	-92.925339
153.424072	-101.066010
154.769897	-102.734474
156.115723	-108.118111
157.461548	-106.370796
158.807373	-108.427170
160.153198	-100.133659
161.499023	-97.451637
162.844849	-109.460625
164.190674	-99.069138
165.536499	-118.521172
166.882324	-99.971840
168.228149	-121.237900
169.573975	-97.622261
170.919800	-98.487694
172.265625	-104.425606
173.611450	-107.585495
174.957275	-109.893715
176.303101	-106.876900
177.648926	-99.696861
178.994751	-103.173790
180.340576	-106.508247
181.686401	-104.281914
183.032227	-107.862808
184.378052	-102.173965
185.723877	-101.506439
187.069702	-102.243866
188.415527	-110.365837
189.761353	-98.768379
191.107178	-106.737122
192.453003	-90.307983
193.798828	-93.963387
195.144653	-97.154541
196.490479	-102.702965
197.836304	-101.236984
199.182129	-97.577332
200.527954	-98.994865
201.873779	-116.346191
203.219604	-105.067276
204.565430	-107.708961
205.911255	-98.201294
207.257080	-98.483833
208.602905	-119.978722
209.948730	-99.326546
211.294556	-112.505524
212.640381	-88.456436
213.986206	-89.769447
215.332031	-109.516983
216.677856	-96.410751
218.023682	-95.070816
219.369507	-101.754227
220.715332	-99.598030
222.061157	-102.481209
223.406982	-100.085899
224.752808	-96.799332
226.098633	-100.067467
227.444458	-99.857498
228.790283	-98.815804
230.136108	-98.337494
231.481934	-98.602982
232.827759	-100.553825
234.173584	-93.013252
235.519409	-84.790642
236.865234	-83.512756
238.211060	-91.660316
239.556885	-101.543243
240.902710	-91.068718
242.248535	-89.078964
243.594360	-91.380135
244.940186	-89.659966
246.286011	-92.556381
247.631836	-91.901878
248.977661	-89.237053
250.323486	-87.269241
251.669312	-90.312637
253.015137	-86.268822
254.360962	-83.311989
